Movie_Id,title,year,genre,rating,count
133,Унесённые ветром,1939,Drama,8.2,316000
134,Головоломка,2015,Animation,8.2,711000
135,Тайна в его глазах,2009,Drama,8.2,210000
136,Ходячий замок,2004,Animation,8.2,395000
137,Мост через реку Квай,1957,Adventure,8.2,221000
138,На игле,1996,Drama,8.1,687000
139,Воин,2011,Action,8.2,473000
140,Фарго,1996,Crime,8.1,677000
141,Гран Торино,2008,Drama,8.1,775000
142,Пленницы,2013,Crime,8.1,708000
143,Мой сосед Тоторо,1988,Animation,8.1,339000
144,Малышка на миллион,2004,Drama,8.1,687000
145,Дети небес,1997,Drama,8.2,75000
146,The Gold Rush,1925,Adventure,8.2,112000
147,Бегущий по лезвию,1982,Action,8.1,768000
148,В порту,1954,Crime,8.1,156000
149,Перед рассветом,1995,Drama,8.1,308000
150,12 лет рабства,2013,Biography,8.1,700000
151,Бен-Гур,1959,Adventure,8.1,240000
152,Земляничная поляна,1957,Drama,8.1,108000
153,Третий человек,1949,Film-Noir,8.1,172000
154,Исчезнувшая,2014,Drama,8.1,979000
155,Паровоз Генерал,1926,Action,8.2,92000
156,Отель «Гранд Будапешт»,2014,Adventure,8.1,806000
157,Охотник на оленей,1978,Drama,8.1,340000
158,Во имя отца,1993,Biography,8.1,176000
159,Барри Линдон,1975,Adventure,8.1,169000
160,Плата за страх,1953,Adventure,8.2,62000
161,Клаус,2019,Animation,8.1,149000
162,Шерлок младший,1924,Action,8.2,51000
163,Дикие истории,2014,Comedy,8.1,199000
164,Седьмая печать,1957,Drama,8.1,186000
165,Комната,2015,Drama,8.1,421000
166,Мэри и Макс,2009,Animation,8.1,178000
167,Как приручить дракона,2010,Animation,8.1,739000
168,Большой Лебовски,1998,Comedy,8.1,807000
169,Корпорация монстров,2001,Animation,8.1,906000
170,Челюсти,1975,Adventure,8.1,606000
171,Страсти Жанны д'Арк,1928,Biography,8.2,55000
172,Токийская повесть,1953,Drama,8.2,62000
173,Отель «Руанда»,2004,Biography,8.1,356000
174,Ford против Ferrari,2019,Action,8.1,391000
175,Рокки,1976,Drama,8.1,575000
176,Взвод,1986,Drama,8.1,415000
177,Останься со мной,1986,Adventure,8.1,404000
178,Терминатор,1984,Action,8.1,863000
179,В центре внимания,2015,Biography,8.1,470000
180,Логан,2017,Action,8.1,760000
181,Рататуй,2007,Animation,8.1,734000
182,Pather Panchali,1955,Drama,8.3,33000
183,Гонка,2013,Action,8.1,480000
184,Телесеть,1976,Drama,8.1,160000
185,В диких условиях,2007,Adventure,8.1,623000
186,Волшебник страны Оз,1939,Adventure,8.1,400000
187,Перед закатом,2004,Drama,8.1,265000
188,День сурка,1993,Comedy,8.1,631000
189,Изгоняющий дьявола,1973,Horror,8.1,408000
190,Суперсемейка,2004,Animation,8.0,735000
191,La battaglia di Algeri,1966,Drama,8.1,61000
