Movie_Id,title,year,genre,rating,count
132,«V» значит Вендетта,2005,Action,8.2,1.1M
133,Унесённые ветром,1939,Drama,8.2,316K
134,Головоломка,2015,Animation,8.2,711K
135,Тайна в его глазах,2009,Drama,8.2,210K
136,Ходячий замок,2004,Animation,8.2,395K
137,Мост через реку Квай,1957,Adventure,8.2,221K
138,На игле,1996,Drama,8.1,687K
139,Воин,2011,Action,8.2,473K
140,Фарго,1996,Crime,8.1,677K
141,Гран Торино,2008,Drama,8.1,775K
142,Пленницы,2013,Crime,8.1,708K
143,Мой сосед Тоторо,1988,Animation,8.1,339K
144,Малышка на миллион,2004,Drama,8.1,687K
145,Дети небес,1997,Drama,8.2,75K
146,The Gold Rush,1925,Adventure,8.2,112K
147,Бегущий по лезвию,1982,Action,8.1,768K
148,В порту,1954,Crime,8.1,156K
149,Перед рассветом,1995,Drama,8.1,308K
150,12 лет рабства,2013,Biography,8.1,700K
151,Бен-Гур,1959,Adventure,8.1,240K
152,Земляничная поляна,1957,Drama,8.1,108K
153,Третий человек,1949,Film-Noir,8.1,172K
154,Исчезнувшая,2014,Drama,8.1,979K
155,Паровоз Генерал,1926,Action,8.2,92K
156,Отель «Гранд Будапешт»,2014,Adventure,8.1,806K
157,Охотник на оленей,1978,Drama,8.1,340K
158,Во имя отца,1993,Biography,8.1,176K
159,Барри Линдон,1975,Adventure,8.1,169K
160,Плата за страх,1953,Adventure,8.2,62K
161,Клаус,2019,Animation,8.1,149K
162,Шерлок младший,1924,Action,8.2,51K
163,Дикие истории,2014,Comedy,8.1,199K
164,Седьмая печать,1957,Drama,8.1,186K
165,Комната,2015,Drama,8.1,421K
166,Мэри и Макс,2009,Animation,8.1,178K
167,Как приручить дракона,2010,Animation,8.1,739K
168,Большой Лебовски,1998,Comedy,8.1,807K
169,Корпорация монстров,2001,Animation,8.1,906K
170,Челюсти,1975,Adventure,8.1,606K
171,Страсти Жанны д'Арк,1928,Biography,8.2,55K
172,Токийская повесть,1953,Drama,8.2,62K
173,Отель «Руанда»,2004,Biography,8.1,356K
174,Ford против Ferrari,2019,Action,8.1,391K
175,Рокки,1976,Drama,8.1,575K
176,Взвод,1986,Drama,8.1,415K
177,Останься со мной,1986,Adventure,8.1,404K
178,Терминатор,1984,Action,8.1,863K
179,В центре внимания,2015,Biography,8.1,470K
180,Логан,2017,Action,8.1,760K
181,Рататуй,2007,Animation,8.1,734K
182,Pather Panchali,1955,Drama,8.3,33K
183,Гонка,2013,Action,8.1,480K
184,Телесеть,1976,Drama,8.1,160K
185,В диких условиях,2007,Adventure,8.1,623K
186,Волшебник страны Оз,1939,Adventure,8.1,400K
187,Перед закатом,2004,Drama,8.1,265K
188,День сурка,1993,Comedy,8.1,631K
189,Изгоняющий дьявола,1973,Horror,8.1,408K
190,Суперсемейка,2004,Animation,8.0,735K
191,La battaglia di Algeri,1966,Drama,8.1,61K
192,To Be or Not to Be,1942,Comedy,8.2,38K
193,Да прольётся свет,2021,Crime,8.9,201K
194,Гроздья гнева,1940,Drama,8.1,94K
195,Мой отец и мой сын,2005,Drama,8.2,87K
196,Ненависть,1995,Crime,8.1,174K
197,Сука любовь,2000,Drama,8.1,241K
198,Ребекка,1940,Drama,8.1,138K
199,Всё везде и сразу,2022,Action,8.1,240K
200,Хладнокровный Люк,1967,Crime,8.1,178K
201,Четыреста ударов,1959,Crime,8.1,119K
202,Служанка,2016,Drama,8.1,148K
203,Звуки музыки,1965,Biography,8.1,235K
204,Персона,1966,Drama,8.1,119K
205,Дерсу Узала,1975,Adventure,8.2,30K
206,Аладдин,1992,Animation,8.0,420K
207,Прислуга,2011,Drama,8.1,460K
208,Стальной гигант,1999,Animation,8.1,199K
209,Ганди,1982,Biography,8.1,232K
